SampleName	Group	Genotype	Treatment	Timepoint.hrs	Dose	Treatment2	Replicate
Mutant_Vehicle_6hr_1	Mutant_Vehicle_6hr	Mutant	Vehicle	6	Vehicle	Vehicle	1
Mutant_Vehicle_6hr_2	Mutant_Vehicle_6hr	Mutant	Vehicle	6	Vehicle	Vehicle	2
Mutant_Vehicle_6hr_3	Mutant_Vehicle_6hr	Mutant	Vehicle	6	Vehicle	Vehicle	3
Mutant_Vehicle_6hr_4	Mutant_Vehicle_6hr	Mutant	Vehicle	6	Vehicle	Vehicle	4
Mutant_Vehicle_24hr_1	Mutant_Vehicle_24hr	Mutant	Vehicle	24	Vehicle	Vehicle	1
Mutant_Vehicle_24hr_2	Mutant_Vehicle_24hr	Mutant	Vehicle	24	Vehicle	Vehicle	2
Mutant_Vehicle_24hr_3	Mutant_Vehicle_24hr	Mutant	Vehicle	24	Vehicle	Vehicle	3
Mutant_Vehicle_24hr_4	Mutant_Vehicle_24hr	Mutant	Vehicle	24	Vehicle	Vehicle	4
Mutant_Vehicle_96hr_1	Mutant_Vehicle_96hr	Mutant	Vehicle	96	Vehicle	Vehicle	1
Mutant_Vehicle_96hr_2	Mutant_Vehicle_96hr	Mutant	Vehicle	96	Vehicle	Vehicle	2
WT_Vehicle_6hr_1	WT_Vehicle_6hr	WT	Vehicle	6	Vehicle	Vehicle	1
WT_Vehicle_6hr_2	WT_Vehicle_6hr	WT	Vehicle	6	Vehicle	Vehicle	2
WT_Vehicle_6hr_3	WT_Vehicle_6hr	WT	Vehicle	6	Vehicle	Vehicle	3
WT_Vehicle_6hr_4	WT_Vehicle_6hr	WT	Vehicle	6	Vehicle	Vehicle	4
WT_Vehicle_24hr_1	WT_Vehicle_24hr	WT	Vehicle	24	Vehicle	Vehicle	1
WT_Vehicle_24hr_2	WT_Vehicle_24hr	WT	Vehicle	24	Vehicle	Vehicle	2
WT_Vehicle_24hr_3	WT_Vehicle_24hr	WT	Vehicle	24	Vehicle	Vehicle	3
WT_Vehicle_24hr_4	WT_Vehicle_24hr	WT	Vehicle	24	Vehicle	Vehicle	4
WT_Vehicle_96hr_1	WT_Vehicle_96hr	WT	Vehicle	96	Vehicle	Vehicle	1
WT_Vehicle_96hr_2	WT_Vehicle_96hr	WT	Vehicle	96	Vehicle	Vehicle	2
Mutant_DrugA_EC10_6hr_1	Mutant_DrugA_EC10_6hr	Mutant	DrugA	6	EC10	DrugA_EC10	1
Mutant_DrugA_EC10_6hr_2	Mutant_DrugA_EC10_6hr	Mutant	DrugA	6	EC10	DrugA_EC10	2
Mutant_DrugA_EC10_6hr_3	Mutant_DrugA_EC10_6hr	Mutant	DrugA	6	EC10	DrugA_EC10	3
Mutant_DrugA_EC10_6hr_4	Mutant_DrugA_EC10_6hr	Mutant	DrugA	6	EC10	DrugA_EC10	4
Mutant_DrugA_EC50_6hr_1	Mutant_DrugA_EC50_6hr	Mutant	DrugA	6	EC50	DrugA_EC50	1
Mutant_DrugA_EC50_6hr_2	Mutant_DrugA_EC50_6hr	Mutant	DrugA	6	EC50	DrugA_EC50	2
Mutant_DrugA_EC50_6hr_3	Mutant_DrugA_EC50_6hr	Mutant	DrugA	6	EC50	DrugA_EC50	3
Mutant_DrugA_EC50_6hr_4	Mutant_DrugA_EC50_6hr	Mutant	DrugA	6	EC50	DrugA_EC50	4
Mutant_DrugA_EC90_6hr_1	Mutant_DrugA_EC90_6hr	Mutant	DrugA	6	EC90	DrugA_EC90	1
Mutant_DrugA_EC90_6hr_2	Mutant_DrugA_EC90_6hr	Mutant	DrugA	6	EC90	DrugA_EC90	2
Mutant_DrugA_EC90_6hr_3	Mutant_DrugA_EC90_6hr	Mutant	DrugA	6	EC90	DrugA_EC90	3
Mutant_DrugA_EC90_6hr_4	Mutant_DrugA_EC90_6hr	Mutant	DrugA	6	EC90	DrugA_EC90	4
Mutant_DrugA_EC10_24hr_1	Mutant_DrugA_EC10_24hr	Mutant	DrugA	24	EC10	DrugA_EC10	1
Mutant_DrugA_EC10_24hr_2	Mutant_DrugA_EC10_24hr	Mutant	DrugA	24	EC10	DrugA_EC10	2
Mutant_DrugA_EC10_24hr_3	Mutant_DrugA_EC10_24hr	Mutant	DrugA	24	EC10	DrugA_EC10	3
Mutant_DrugA_EC10_24hr_4	Mutant_DrugA_EC10_24hr	Mutant	DrugA	24	EC10	DrugA_EC10	4
Mutant_DrugA_EC50_24hr_1	Mutant_DrugA_EC50_24hr	Mutant	DrugA	24	EC50	DrugA_EC50	1
Mutant_DrugA_EC50_24hr_2	Mutant_DrugA_EC50_24hr	Mutant	DrugA	24	EC50	DrugA_EC50	2
Mutant_DrugA_EC50_24hr_3	Mutant_DrugA_EC50_24hr	Mutant	DrugA	24	EC50	DrugA_EC50	3
Mutant_DrugA_EC50_24hr_4	Mutant_DrugA_EC50_24hr	Mutant	DrugA	24	EC50	DrugA_EC50	4
Mutant_DrugA_EC90_24hr_1	Mutant_DrugA_EC90_24hr	Mutant	DrugA	24	EC90	DrugA_EC90	1
Mutant_DrugA_EC90_24hr_2	Mutant_DrugA_EC90_24hr	Mutant	DrugA	24	EC90	DrugA_EC90	2
Mutant_DrugA_EC90_24hr_3	Mutant_DrugA_EC90_24hr	Mutant	DrugA	24	EC90	DrugA_EC90	3
Mutant_DrugA_EC90_24hr_4	Mutant_DrugA_EC90_24hr	Mutant	DrugA	24	EC90	DrugA_EC90	4
Mutant_DrugA_EC10_96hr_1	Mutant_DrugA_EC10_96hr	Mutant	DrugA	96	EC10	DrugA_EC10	1
Mutant_DrugA_EC10_96hr_2	Mutant_DrugA_EC10_96hr	Mutant	DrugA	96	EC10	DrugA_EC10	2
Mutant_DrugA_EC10_96hr_3	Mutant_DrugA_EC10_96hr	Mutant	DrugA	96	EC10	DrugA_EC10	3
Mutant_DrugA_EC10_96hr_4	Mutant_DrugA_EC10_96hr	Mutant	DrugA	96	EC10	DrugA_EC10	4
Mutant_DrugA_EC50_96hr_1	Mutant_DrugA_EC50_96hr	Mutant	DrugA	96	EC50	DrugA_EC50	1
Mutant_DrugA_EC50_96hr_2	Mutant_DrugA_EC50_96hr	Mutant	DrugA	96	EC50	DrugA_EC50	2
Mutant_DrugA_EC50_96hr_3	Mutant_DrugA_EC50_96hr	Mutant	DrugA	96	EC50	DrugA_EC50	3
Mutant_DrugA_EC50_96hr_4	Mutant_DrugA_EC50_96hr	Mutant	DrugA	96	EC50	DrugA_EC50	4
Mutant_DrugA_EC90_96hr_1	Mutant_DrugA_EC90_96hr	Mutant	DrugA	96	EC90	DrugA_EC90	1
Mutant_DrugA_EC90_96hr_2	Mutant_DrugA_EC90_96hr	Mutant	DrugA	96	EC90	DrugA_EC90	2
Mutant_DrugA_EC90_96hr_3	Mutant_DrugA_EC90_96hr	Mutant	DrugA	96	EC90	DrugA_EC90	3
Mutant_DrugA_EC90_96hr_4	Mutant_DrugA_EC90_96hr	Mutant	DrugA	96	EC90	DrugA_EC90	4
WT_DrugA_EC10_6hr_1	WT_DrugA_EC10_6hr	WT	DrugA	6	EC10	DrugA_EC10	1
WT_DrugA_EC10_6hr_2	WT_DrugA_EC10_6hr	WT	DrugA	6	EC10	DrugA_EC10	2
WT_DrugA_EC10_6hr_3	WT_DrugA_EC10_6hr	WT	DrugA	6	EC10	DrugA_EC10	3
WT_DrugA_EC10_6hr_4	WT_DrugA_EC10_6hr	WT	DrugA	6	EC10	DrugA_EC10	4
WT_DrugA_EC50_6hr_1	WT_DrugA_EC50_6hr	WT	DrugA	6	EC50	DrugA_EC50	1
WT_DrugA_EC50_6hr_2	WT_DrugA_EC50_6hr	WT	DrugA	6	EC50	DrugA_EC50	2
WT_DrugA_EC50_6hr_3	WT_DrugA_EC50_6hr	WT	DrugA	6	EC50	DrugA_EC50	3
WT_DrugA_EC50_6hr_4	WT_DrugA_EC50_6hr	WT	DrugA	6	EC50	DrugA_EC50	4
WT_DrugA_EC90_6hr_1	WT_DrugA_EC90_6hr	WT	DrugA	6	EC90	DrugA_EC90	1
WT_DrugA_EC90_6hr_2	WT_DrugA_EC90_6hr	WT	DrugA	6	EC90	DrugA_EC90	2
WT_DrugA_EC90_6hr_3	WT_DrugA_EC90_6hr	WT	DrugA	6	EC90	DrugA_EC90	3
WT_DrugA_EC90_6hr_4	WT_DrugA_EC90_6hr	WT	DrugA	6	EC90	DrugA_EC90	4
WT_DrugA_EC10_24hr_1	WT_DrugA_EC10_24hr	WT	DrugA	24	EC10	DrugA_EC10	1
WT_DrugA_EC10_24hr_2	WT_DrugA_EC10_24hr	WT	DrugA	24	EC10	DrugA_EC10	2
WT_DrugA_EC10_24hr_3	WT_DrugA_EC10_24hr	WT	DrugA	24	EC10	DrugA_EC10	3
WT_DrugA_EC10_24hr_4	WT_DrugA_EC10_24hr	WT	DrugA	24	EC10	DrugA_EC10	4
WT_DrugA_EC50_24hr_1	WT_DrugA_EC50_24hr	WT	DrugA	24	EC50	DrugA_EC50	1
WT_DrugA_EC50_24hr_2	WT_DrugA_EC50_24hr	WT	DrugA	24	EC50	DrugA_EC50	2
WT_DrugA_EC50_24hr_3	WT_DrugA_EC50_24hr	WT	DrugA	24	EC50	DrugA_EC50	3
WT_DrugA_EC50_24hr_4	WT_DrugA_EC50_24hr	WT	DrugA	24	EC50	DrugA_EC50	4
WT_DrugA_EC90_24hr_1	WT_DrugA_EC90_24hr	WT	DrugA	24	EC90	DrugA_EC90	1
WT_DrugA_EC90_24hr_2	WT_DrugA_EC90_24hr	WT	DrugA	24	EC90	DrugA_EC90	2
WT_DrugA_EC90_24hr_3	WT_DrugA_EC90_24hr	WT	DrugA	24	EC90	DrugA_EC90	3
WT_DrugA_EC90_24hr_4	WT_DrugA_EC90_24hr	WT	DrugA	24	EC90	DrugA_EC90	4
WT_DrugA_EC10_96hr_1	WT_DrugA_EC10_96hr	WT	DrugA	96	EC10	DrugA_EC10	1
WT_DrugA_EC10_96hr_2	WT_DrugA_EC10_96hr	WT	DrugA	96	EC10	DrugA_EC10	2
WT_DrugA_EC10_96hr_3	WT_DrugA_EC10_96hr	WT	DrugA	96	EC10	DrugA_EC10	3
WT_DrugA_EC10_96hr_4	WT_DrugA_EC10_96hr	WT	DrugA	96	EC10	DrugA_EC10	4
WT_DrugA_EC50_96hr_1	WT_DrugA_EC50_96hr	WT	DrugA	96	EC50	DrugA_EC50	1
WT_DrugA_EC50_96hr_2	WT_DrugA_EC50_96hr	WT	DrugA	96	EC50	DrugA_EC50	2
WT_DrugA_EC50_96hr_3	WT_DrugA_EC50_96hr	WT	DrugA	96	EC50	DrugA_EC50	3
WT_DrugA_EC50_96hr_4	WT_DrugA_EC50_96hr	WT	DrugA	96	EC50	DrugA_EC50	4
WT_DrugA_EC90_96hr_1	WT_DrugA_EC90_96hr	WT	DrugA	96	EC90	DrugA_EC90	1
WT_DrugA_EC90_96hr_2	WT_DrugA_EC90_96hr	WT	DrugA	96	EC90	DrugA_EC90	2
WT_DrugA_EC90_96hr_3	WT_DrugA_EC90_96hr	WT	DrugA	96	EC90	DrugA_EC90	3
WT_DrugA_EC90_96hr_4	WT_DrugA_EC90_96hr	WT	DrugA	96	EC90	DrugA_EC90	4
Mutant_DrugB_EC10_6hr_1	Mutant_DrugB_EC10_6hr	Mutant	DrugB	6	EC10	DrugB_EC10	1
Mutant_DrugB_EC10_6hr_2	Mutant_DrugB_EC10_6hr	Mutant	DrugB	6	EC10	DrugB_EC10	2
Mutant_DrugB_EC10_6hr_3	Mutant_DrugB_EC10_6hr	Mutant	DrugB	6	EC10	DrugB_EC10	3
Mutant_DrugB_EC10_6hr_4	Mutant_DrugB_EC10_6hr	Mutant	DrugB	6	EC10	DrugB_EC10	4
Mutant_DrugB_EC50_6hr_1	Mutant_DrugB_EC50_6hr	Mutant	DrugB	6	EC50	DrugB_EC50	1
Mutant_DrugB_EC50_6hr_2	Mutant_DrugB_EC50_6hr	Mutant	DrugB	6	EC50	DrugB_EC50	2
Mutant_DrugB_EC50_6hr_3	Mutant_DrugB_EC50_6hr	Mutant	DrugB	6	EC50	DrugB_EC50	3
Mutant_DrugB_EC50_6hr_4	Mutant_DrugB_EC50_6hr	Mutant	DrugB	6	EC50	DrugB_EC50	4
Mutant_DrugB_EC90_6hr_1	Mutant_DrugB_EC90_6hr	Mutant	DrugB	6	EC90	DrugB_EC90	1
Mutant_DrugB_EC90_6hr_2	Mutant_DrugB_EC90_6hr	Mutant	DrugB	6	EC90	DrugB_EC90	2
Mutant_DrugB_EC90_6hr_3	Mutant_DrugB_EC90_6hr	Mutant	DrugB	6	EC90	DrugB_EC90	3
Mutant_DrugB_EC90_6hr_4	Mutant_DrugB_EC90_6hr	Mutant	DrugB	6	EC90	DrugB_EC90	4
Mutant_DrugB_EC10_24hr_1	Mutant_DrugB_EC10_24hr	Mutant	DrugB	24	EC10	DrugB_EC10	1
Mutant_DrugB_EC10_24hr_2	Mutant_DrugB_EC10_24hr	Mutant	DrugB	24	EC10	DrugB_EC10	2
Mutant_DrugB_EC10_24hr_3	Mutant_DrugB_EC10_24hr	Mutant	DrugB	24	EC10	DrugB_EC10	3
Mutant_DrugB_EC10_24hr_4	Mutant_DrugB_EC10_24hr	Mutant	DrugB	24	EC10	DrugB_EC10	4
Mutant_DrugB_EC50_24hr_1	Mutant_DrugB_EC50_24hr	Mutant	DrugB	24	EC50	DrugB_EC50	1
Mutant_DrugB_EC50_24hr_2	Mutant_DrugB_EC50_24hr	Mutant	DrugB	24	EC50	DrugB_EC50	2
Mutant_DrugB_EC50_24hr_3	Mutant_DrugB_EC50_24hr	Mutant	DrugB	24	EC50	DrugB_EC50	3
Mutant_DrugB_EC50_24hr_4	Mutant_DrugB_EC50_24hr	Mutant	DrugB	24	EC50	DrugB_EC50	4
Mutant_DrugB_EC90_24hr_1	Mutant_DrugB_EC90_24hr	Mutant	DrugB	24	EC90	DrugB_EC90	1
Mutant_DrugB_EC90_24hr_2	Mutant_DrugB_EC90_24hr	Mutant	DrugB	24	EC90	DrugB_EC90	2
Mutant_DrugB_EC90_24hr_3	Mutant_DrugB_EC90_24hr	Mutant	DrugB	24	EC90	DrugB_EC90	3
Mutant_DrugB_EC90_24hr_4	Mutant_DrugB_EC90_24hr	Mutant	DrugB	24	EC90	DrugB_EC90	4
Mutant_DrugB_EC10_96hr_1	Mutant_DrugB_EC10_96hr	Mutant	DrugB	96	EC10	DrugB_EC10	1
Mutant_DrugB_EC10_96hr_2	Mutant_DrugB_EC10_96hr	Mutant	DrugB	96	EC10	DrugB_EC10	2
Mutant_DrugB_EC10_96hr_3	Mutant_DrugB_EC10_96hr	Mutant	DrugB	96	EC10	DrugB_EC10	3
Mutant_DrugB_EC10_96hr_4	Mutant_DrugB_EC10_96hr	Mutant	DrugB	96	EC10	DrugB_EC10	4
Mutant_DrugB_EC50_96hr_1	Mutant_DrugB_EC50_96hr	Mutant	DrugB	96	EC50	DrugB_EC50	1
Mutant_DrugB_EC50_96hr_2	Mutant_DrugB_EC50_96hr	Mutant	DrugB	96	EC50	DrugB_EC50	2
Mutant_DrugB_EC50_96hr_3	Mutant_DrugB_EC50_96hr	Mutant	DrugB	96	EC50	DrugB_EC50	3
Mutant_DrugB_EC50_96hr_4	Mutant_DrugB_EC50_96hr	Mutant	DrugB	96	EC50	DrugB_EC50	4
Mutant_DrugB_EC90_96hr_1	Mutant_DrugB_EC90_96hr	Mutant	DrugB	96	EC90	DrugB_EC90	1
Mutant_DrugB_EC90_96hr_2	Mutant_DrugB_EC90_96hr	Mutant	DrugB	96	EC90	DrugB_EC90	2
Mutant_DrugB_EC90_96hr_3	Mutant_DrugB_EC90_96hr	Mutant	DrugB	96	EC90	DrugB_EC90	3
Mutant_DrugB_EC90_96hr_4	Mutant_DrugB_EC90_96hr	Mutant	DrugB	96	EC90	DrugB_EC90	4
WT_DrugB_EC10_6hr_1	WT_DrugB_EC10_6hr	WT	DrugB	6	EC10	DrugB_EC10	1
WT_DrugB_EC10_6hr_2	WT_DrugB_EC10_6hr	WT	DrugB	6	EC10	DrugB_EC10	2
WT_DrugB_EC10_6hr_3	WT_DrugB_EC10_6hr	WT	DrugB	6	EC10	DrugB_EC10	3
WT_DrugB_EC10_6hr_4	WT_DrugB_EC10_6hr	WT	DrugB	6	EC10	DrugB_EC10	4
WT_DrugB_EC50_6hr_1	WT_DrugB_EC50_6hr	WT	DrugB	6	EC50	DrugB_EC50	1
WT_DrugB_EC50_6hr_2	WT_DrugB_EC50_6hr	WT	DrugB	6	EC50	DrugB_EC50	2
WT_DrugB_EC50_6hr_3	WT_DrugB_EC50_6hr	WT	DrugB	6	EC50	DrugB_EC50	3
WT_DrugB_EC50_6hr_4	WT_DrugB_EC50_6hr	WT	DrugB	6	EC50	DrugB_EC50	4
WT_DrugB_EC90_6hr_1	WT_DrugB_EC90_6hr	WT	DrugB	6	EC90	DrugB_EC90	1
WT_DrugB_EC90_6hr_2	WT_DrugB_EC90_6hr	WT	DrugB	6	EC90	DrugB_EC90	2
WT_DrugB_EC90_6hr_3	WT_DrugB_EC90_6hr	WT	DrugB	6	EC90	DrugB_EC90	3
WT_DrugB_EC90_6hr_4	WT_DrugB_EC90_6hr	WT	DrugB	6	EC90	DrugB_EC90	4
WT_DrugB_EC10_24hr_1	WT_DrugB_EC10_24hr	WT	DrugB	24	EC10	DrugB_EC10	1
WT_DrugB_EC10_24hr_2	WT_DrugB_EC10_24hr	WT	DrugB	24	EC10	DrugB_EC10	2
WT_DrugB_EC10_24hr_3	WT_DrugB_EC10_24hr	WT	DrugB	24	EC10	DrugB_EC10	3
WT_DrugB_EC10_24hr_4	WT_DrugB_EC10_24hr	WT	DrugB	24	EC10	DrugB_EC10	4
WT_DrugB_EC50_24hr_1	WT_DrugB_EC50_24hr	WT	DrugB	24	EC50	DrugB_EC50	1
WT_DrugB_EC50_24hr_2	WT_DrugB_EC50_24hr	WT	DrugB	24	EC50	DrugB_EC50	2
